quartier,prix_moyen,prix_median,prix_min,prix_max,nb_annonces,surface_moyenne,chambres_moyennes,prix_m2_moyen
Rufisque,270154737.0,4000000.0,7.0,3750000000.0,38,738.0,3.0,910270.0
Baobabs,226516667.0,329500000.0,50000.0,350000000.0,3,7136.0,4.0,259787.0
Ngor,214195391.0,800000.0,10000.0,9000000000.0,120,842.0,3.0,630827.0
Keur Gorgui,200200000.0,375000.0,50000.0,800000000.0,4,150.0,3.0,3000.0
Fann,187455598.0,2000000.0,11000.0,3200000000.0,110,561.0,3.0,1734343.0
Kaolack,176910500.0,38803500.0,15000.0,491913000.0,3,468.0,,814444.0
Popenguine,159125000.0,148375000.0,500000.0,525000000.0,10,780.0,4.0,408347.0
Médina,146389167.0,64160000.0,1.0,400000000.0,6,231.0,2.0,552936.0
Nord Foire,131338200.0,300000.0,20000.0,2431200000.0,20,52.0,2.0,46753846.0
Saly,120797876.0,50000000.0,15000.0,950000000.0,129,705.0,4.0,410452.0
Somone,116312209.0,100000000.0,20000.0,550000000.0,43,1073.0,3.0,246158.0
Corniche,105032756.0,2500000.0,18000.0,900000000.0,41,260.0,3.0,949481.0
Amitié,100985000.0,487500.0,35000.0,768000000.0,12,350.0,2.0,631844.0
Liberté 1,100037857.0,90000000.0,35000.0,310000000.0,14,177.0,2.0,878779.0
Mermoz,92829576.0,1200000.0,1.0,15000000000.0,305,248.0,3.0,908445.0
Hlm,89745438.0,27500000.0,10000.0,850000000.0,24,320.0,2.0,469853.0
Almadies,86272442.0,1300000.0,2.0,3100000000.0,675,406.0,3.0,638426.0
Dieuppeul,73365667.0,80000.0,17000.0,220000000.0,3,,4.0,
Liberté,73023571.0,3250000.0,20000.0,300000000.0,14,299.0,2.0,810888.0
Liberté 5,70645006.0,65000000.0,65.0,290000000.0,10,175.0,3.0,588731.0
Liberté 2,69220667.0,137500.0,14000.0,220000000.0,6,300.0,4.0,733333.0
Touba,68217789.0,20000000.0,20000.0,550000000.0,19,373.0,3.0,640080.0
Maristes,65006223.0,325000.0,1000.0,980000000.0,69,309.0,3.0,603098.0
Dakar,64395926.0,1500000.0,10000.0,950000000.0,74,634.0,3.0,499038.0
Pikine,60176167.0,350000.0,178500.0,180000000.0,3,150.0,2.0,1200000.0
Liberté 4,58533333.0,399998.0,200000.0,175000000.0,3,178.0,2.0,983146.0
Point E,56760915.0,1200000.0,1.0,1200000000.0,215,240.0,3.0,676416.0
Mbour,55766957.0,8000000.0,30000.0,789000000.0,23,823.0,4.0,94270.0
Mbao,48705090.0,500000.0,12.0,1100000000.0,69,208.0,2.0,3842051.0
Mamelles,48048052.0,550000.0,10000.0,850000000.0,201,332.0,3.0,567948.0
Diamniadio,46283500.0,3750000.0,1000.0,550000000.0,46,2149.0,2.0,362493.0
Yoff,42879917.0,400000.0,1000.0,450000000.0,126,244.0,3.0,520415.0
Yeumbeul,40500000.0,40500000.0,26000000.0,55000000.0,2,229.0,,240175.0
Vdn,39751468.0,650000.0,1.0,1290000000.0,139,360.0,3.0,306217.0
Cambérène,39333349.0,45.0,1.0,118000000.0,3,466.0,,393334.0
Thiès,35983375.0,900000.0,1.0,600000000.0,48,325.0,4.0,77113.0
Parcelles Assainies,32658934.0,287500.0,80.0,125000000.0,14,144.0,7.0,6255188.0
Liberté 6,29680134.0,300000.0,10000.0,495000000.0,101,203.0,3.0,640486.0
Plateau,28994684.0,1700000.0,1000.0,1000000000.0,141,373.0,3.0,257484.0
Ouakam,23960600.0,462500.0,10000.0,460000000.0,84,192.0,3.0,451590.0
Guédiawaye,23464286.0,280000.0,20000.0,75000000.0,7,150.0,3.0,363333.0
Liberté 3,21916667.0,400000.0,350000.0,65000000.0,3,110.0,2.0,590909.0
Sicap,20799162.0,400000.0,1.0,225000000.0,68,150.0,3.0,279658.0
Foire,19435665.0,250000.0,1000.0,240000001.0,54,196.0,3.0,746802.0
Sacre Coeur,19056700.0,500000.0,12500.0,230000000.0,40,190.0,3.0,641918.0
Keur Massar,18379900.0,190000.0,10000.0,125000000.0,25,214.0,2.0,189380.0
Ziguinchor,15500000.0,15500000.0,15500000.0,15500000.0,1,293.0,,52901.0
Sacré-Coeur,15266250.0,522500.0,20000.0,60000000.0,4,132.0,2.0,547836.0
Lac Rose,12105218.0,4500000.0,18.0,75000000.0,23,211.0,3.0,33049.0
Cité Keur Gorgui,11070114.0,450000.0,1000.0,352000000.0,65,188.0,3.0,319032.0
Sébikotane,2500000.0,2500000.0,2500000.0,2500000.0,1,,,
Grand Dakar,1715000.0,75000.0,70000.0,5000000.0,3,,2.0,
Thiaroye,1657500.0,1657500.0,315000.0,3000000.0,2,4000.0,,1522.0
Saint-Louis,217500.0,120000.0,30000.0,600000.0,4,70.0,2.0,429.0
Tambacounda,27500.0,27500.0,25000.0,30000.0,2,,,
