ville,prix_moyen,prix_median,prix_min,prix_max,nb_annonces,surface_moyenne,chambres_moyennes
Kaolack,176910500.0,38803500.0,15000.0,491913000.0,3,468.0,
Rufisque,170109678.0,4000000.0,7.0,3750000000.0,62,572.0,3.0
Mbour,114430444.0,48000000.0,15000.0,950000000.0,205,818.0,4.0
Dakar,73497547.0,950000.0,1.0,15000000000.0,2799,389.0,3.0
Touba,68217789.0,20000000.0,20000.0,550000000.0,19,373.0,3.0
Pikine,47703878.0,575000.0,12.0,1100000000.0,76,459.0,2.0
Diamniadio,46283500.0,3750000.0,1000.0,550000000.0,46,2149.0,2.0
Thiès,35983375.0,900000.0,1.0,600000000.0,48,325.0,4.0
Guédiawaye,23464286.0,280000.0,20000.0,75000000.0,7,150.0,3.0
Ziguinchor,15500000.0,15500000.0,15500000.0,15500000.0,1,293.0,
Saint-Louis,217500.0,120000.0,30000.0,600000.0,4,70.0,2.0
Tambacounda,27500.0,27500.0,25000.0,30000.0,2,,
